□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,,,
시군구 : 청주시 서원구,,,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
25,충청북도 청주시 서원구 수곡동,324,324,0,주공1,39.3,202510,31,"9,500",-,3,개인,개인,1990,구룡산로 319,-,중개거래,충북 청주시 서원구,-
26,충청북도 청주시 서원구 남이면 가마리,378,378,0,청주가마힐데스하임,84.9476,202510,31,"35,000",-,20,개인,개인,2016,2순환로 1717,-,중개거래,충북 청주시 서원구,-
27,충청북도 청주시 서원구 분평동,1261,1261,0,분평주공4,49.76,202510,31,"11,000",-,17,개인,개인,1999,1순환로1137번길 80,-,중개거래,충북 청주시 서원구,-
28,충청북도 청주시 서원구 분평동,1366,1366,0,분평주공6,84.34,202510,31,"27,000",-,15,개인,개인,1999,1순환로1137번길 19,-,중개거래,충북 청주시 서원구,-
29,충청북도 청주시 서원구 성화동,436,436,0,남양휴튼,130.59,202510,31,"43,300",-,15,개인,개인,2008,장전로 51,-,중개거래,충북 청주시 서원구,-
30,충청북도 청주시 서원구 사직동,937,937,0,푸르지오캐슬(401~413),84.4,202510,31,"28,900",-,1,개인,개인,2010,창직로 50,-,중개거래,충북 청주시 서원구,-
31,충청북도 청주시 서원구 개신동,5-41,41,5,한진,32,202510,31,"5,700",-,6,개인,개인,1996,모충로3번길 81,-,중개거래,충북 청주시 서원구,-
32,충청북도 청주시 서원구 사직동,931,931,0,푸르지오캐슬(101~117),84.4,202510,30,"33,000",-,6,개인,개인,2010,예체로 68,-,중개거래,충북 청주시 청원구,-
33,충청북도 청주시 서원구 개신동,590,590,0,그린빌,84.8,202510,29,"24,300",-,7,법인,개인,2003,신율로 43,-,중개거래,충북 청주시 서원구,-
34,충청북도 청주시 서원구 개신동,590,590,0,그린빌,84.75,202510,29,"25,000",305동,4,개인,개인,2003,신율로 43,-,직거래,-,25.10.31
35,충청북도 청주시 서원구 개신동,278-10,278,10,현대,71.175,202510,29,"15,500",-,6,개인,개인,1990,성봉로220번길 23,-,중개거래,충북 청주시 서원구,-
36,충청북도 청주시 서원구 분평동,1366,1366,0,분평주공6,84.34,202510,29,"23,800",-,11,개인,개인,1999,1순환로1137번길 19,-,중개거래,충북 청주시 서원구,-
37,충청북도 청주시 서원구 남이면 가마리,378,378,0,청주가마힐데스하임,84.9114,202510,29,"31,750",-,5,개인,개인,2016,2순환로 1717,-,중개거래,충북 청주시 서원구,-
38,충청북도 청주시 서원구 개신동,613,613,0,휴먼시아,59.9,202510,29,"17,000",-,10,법인,개인,2001,경신로 67,-,중개거래,충북 청주시 서원구,-
39,충청북도 청주시 서원구 모충동,553,553,0,청주모충LH트릴로채,84.88,202510,28,"35,500",-,11,개인,개인,2021,쌍샘로 22,-,중개거래,충북 청주시 서원구,-
40,충청북도 청주시 서원구 수곡동,1002,1002,0,두진백로,59.4,202510,28,"12,000",-,2,개인,개인,1995,수곡로 36,-,중개거래,충북 청주시 서원구,-
41,충청북도 청주시 서원구 수곡동,324,324,0,주공1,39.69,202510,28,"9,000",-,4,개인,개인,1990,구룡산로 319,-,중개거래,충북 청주시 서원구,-
42,충청북도 청주시 서원구 산남동,678,678,0,대원칸타빌1차,84.9992,202510,27,"28,000",-,9,개인,개인,2007,두꺼비로 63,-,중개거래,충북 청주시 서원구,-
43,충청북도 청주시 서원구 산남동,671,671,0,산남퀸덤아파트,84.9306,202510,27,"26,300",-,2,개인,개인,2007,두꺼비로 93,-,중개거래,충북 청주시 서원구,-
44,충청북도 청주시 서원구 산남동,678,678,0,대원칸타빌1차,84.9992,202510,27,"28,000",-,8,개인,개인,2007,두꺼비로 63,-,중개거래,충북 청주시 서원구,-
45,충청북도 청주시 서원구 수곡동,1057,1057,0,더샵청주퍼스트파크,63.9348,202510,27,"31,000",-,4,개인,개인,2021,수곡로 20,-,중개거래,충북 청주시 서원구,-
46,충청북도 청주시 서원구 수곡동,324,324,0,주공1,39.3,202510,27,"9,000",-,2,개인,개인,1990,구룡산로 319,-,중개거래,충북 청주시 서원구,-
47,충청북도 청주시 서원구 개신동,11,11,0,삼익2,84.96,202510,27,"17,900",-,9,개인,개인,1993,창직로12번길 65,-,중개거래,충북 청주시 서원구,-
48,충청북도 청주시 서원구 개신동,613,613,0,휴먼시아,49.93,202510,26,"14,250",-,3,개인,개인,2001,경신로 67,-,중개거래,충북 청주시 서원구,-
49,충청북도 청주시 서원구 산남동,678,678,0,대원칸타빌1차,84.9992,202510,26,"29,200",-,9,개인,개인,2007,두꺼비로 63,-,중개거래,충북 청주시 서원구,-
