□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,
실거래구분 : 오피스텔(매매),,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,
시군구 : 청주시 흥덕구,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
6,충청북도 청주시 흥덕구 비하동,784,784,0,-784,30,202510,31,"3,700",2,개인,개인,2008,비하로18번길 10,-,중개거래,충북 청주시 흥덕구
7,충청북도 청주시 흥덕구 복대동,288-62,288,62,대농지구 롯데캐슬시티,33.45,202510,28,"11,900",5,개인,개인,2017,진재로 141,-,중개거래,충북 청주시 흥덕구
8,충청북도 청주시 흥덕구 복대동,288-62,288,62,대농지구 롯데캐슬시티,33.45,202510,23,"11,850",9,개인,개인,2017,진재로 141,-,중개거래,충북 청주시 흥덕구
9,충청북도 청주시 흥덕구 오송읍 만수리,857,857,0,골드리치오피스텔,30.765,202510,22,"5,270",6,개인,개인,2012,오송생명5로 275,-,중개거래,충북 청주시 흥덕구
10,충청북도 청주시 흥덕구 오송읍 연제리,664,664,0,두산위브 센티움,22.59,202510,21,"6,000",6,개인,개인,2014,오송생명3로 31,-,중개거래,충북 청주시 흥덕구
11,충청북도 청주시 흥덕구 복대동,288-66,288,66,지웰에스테이트 오피스텔,25.23,202510,16,"10,600",12,개인,개인,2016,진재로 131,-,직거래,-
12,충청북도 청주시 흥덕구 오송읍 연제리,664,664,0,두산위브 센티움,22.59,202510,16,"6,000",6,개인,개인,2014,오송생명3로 31,20251022,중개거래,충북 청주시 흥덕구
13,충청북도 청주시 흥덕구 강서동,460,460,0,이랜드타운힐스 싱글스위트 청주,23.43,202510,15,"6,900",10,개인,개인,2019,2순환로 1228,-,직거래,-
14,충청북도 청주시 흥덕구 강서동,460,460,0,이랜드타운힐스 싱글스위트 청주,23.43,202510,15,"6,900",10,개인,개인,2019,2순환로 1228,-,직거래,-
15,충청북도 청주시 흥덕구 비하동,796,796,0,현대오피스텔,37.8,202510,12,"4,200",9,개인,개인,2003,비하로12번길 14,-,중개거래,충북 청주시 흥덕구
16,충청북도 청주시 흥덕구 오송읍 만수리,531,531,0,오송 리움갤러리96,44.7175,202510,10,"9,500",12,개인,개인,2012,오송생명로 208-9,-,중개거래,충북 청주시 흥덕구
17,충청북도 청주시 흥덕구 복대동,288-62,288,62,대농지구 롯데캐슬시티,33.45,202510,1,"10,400",13,개인,개인,2017,진재로 141,-,중개거래,충북 청주시 흥덕구
18,충청북도 청주시 흥덕구 강서동,460,460,0,이랜드타운힐스 싱글스위트 청주,23.43,202509,27,"7,000",7,개인,개인,2019,2순환로 1228,-,중개거래,충북 청주시 흥덕구
19,충청북도 청주시 흥덕구 복대동,3404,3404,0,청주 지웰시티 푸르지오,84.917,202509,23,"42,000",12,개인,개인,2019,대농로 45,-,중개거래,서울 영등포구
20,충청북도 청주시 흥덕구 강서동,459,459,0,신해블루지움,22.08,202509,23,"6,300",6,개인,개인,2017,2순환로 1222,-,직거래,-
21,충청북도 청주시 흥덕구 복대동,288-66,288,66,지웰에스테이트 오피스텔,27.61,202509,22,"9,300",2,개인,개인,2016,진재로 131,-,중개거래,충북 청주시 흥덕구
22,충청북도 청주시 흥덕구 오송읍 연제리,664,664,0,두산위브 센티움,28.9,202509,22,"9,000",23,개인,개인,2014,오송생명3로 31,-,중개거래,충북 청주시 흥덕구
23,충청북도 청주시 흥덕구 외북동,317,317,0,아크로폴리스,20.4,202509,20,"6,700",4,개인,개인,2019,엘지로 23,-,중개거래,충북 청주시 흥덕구
24,충청북도 청주시 흥덕구 오송읍 만수리,863,863,0,주건축물제1동(863-0),26.74,202509,13,"5,100",8,개인,개인,2012,오송생명5로 305,-,중개거래,충북 청주시 청원구
25,충청북도 청주시 흥덕구 오송읍 만수리,531,531,0,오송 리움갤러리96,44.7175,202509,9,"9,000",6,개인,개인,2012,오송생명로 208-9,-,중개거래,충북 청주시 흥덕구
26,충청북도 청주시 흥덕구 비하동,784,784,0,-784,36,202509,8,"4,000",9,법인,법인,2008,비하로18번길 10,-,직거래,-
27,충청북도 청주시 흥덕구 비하동,785,785,0,-785,30.12,202509,6,"4,700",3,개인,개인,2010,비하로12번길 15,-,중개거래,충북 청주시 흥덕구
28,충청북도 청주시 흥덕구 강서동,458,458,0,청주 강서 동광모닝스카이,20.47,202509,5,"4,800",3,개인,개인,2016,가로수로1164번길 41-33,-,중개거래,충북 청주시 흥덕구
29,충청북도 청주시 흥덕구 오송읍 연제리,664,664,0,두산위브 센티움,24.63,202509,5,"6,400",15,개인,개인,2014,오송생명3로 31,-,중개거래,충북 청주시 흥덕구
30,충청북도 청주시 흥덕구 강서동,503,503,0,강서 베리굿,56.5325,202509,4,"10,500",2,개인,개인,2015,서현중로 63,-,중개거래,충북 청주시 흥덕구
