□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2025-01-01 ~ 2025-11-06,,,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(전월세),,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,
시도 : 충청북도,,,,,,,,,,,,,,,,,
시군구 : 청주시 흥덕구,,,,,,,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,
NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
22,충청북도 청주시 흥덕구 봉명동,2***,25m미만,23.1,월세,202510,31,200,30,2010,덕암로107번길,202511~202611,신규,-,,,단독다가구
23,충청북도 청주시 흥덕구 복대동,3***,12m미만,30,월세,202510,31,300,37,2011,죽천로131번길,202511~202610,신규,-,,,단독다가구
24,충청북도 청주시 흥덕구 비하동,1**,8m미만,36.36,월세,202510,31,500,50,2003,비하로45번길,202510~202610,신규,-,,,단독다가구
25,충청북도 청주시 흥덕구 복대동,3***,12m미만,20,월세,202510,30,300,43,2011,죽천로131번길,202510~202610,신규,-,,,단독다가구
26,충청북도 청주시 흥덕구 오송읍 만수리,6**,12m미만,23,월세,202510,30,200,31,2011,만수길,202510~202610,신규,-,,,단독다가구
27,충청북도 청주시 흥덕구 오송읍 봉산리,1***,12m미만,30,전세,202510,30,"12,000",0,2020,봉산1길,-,-,-,,,단독다가구
28,충청북도 청주시 흥덕구 봉명동,6**,12m미만,18,월세,202510,30,300,60,2012,1순환로535번길,202511~202605,신규,-,,,단독다가구
29,충청북도 청주시 흥덕구 봉명동,2***,12m미만,36.96,전세,202510,30,"7,500",0,2019,덕암로35번길,202511~202711,신규,-,,,단독다가구
30,충청북도 청주시 흥덕구 봉명동,9**,12m미만,18,월세,202510,30,300,60,2019,봉명로177번길,202511~202605,신규,-,,,단독다가구
31,충청북도 청주시 흥덕구 봉명동,1***,12m미만,25,전세,202510,30,"5,000",0,2011,천석로,202511~202711,신규,-,,,단독다가구
32,충청북도 청주시 흥덕구 봉명동,2***,25m미만,33,월세,202510,30,200,35,2010,덕암로,202511~202611,신규,-,,,단독다가구
33,충청북도 청주시 흥덕구 봉명동,1***,12m미만,20,월세,202510,30,200,35,2009,봉명로223번길,202510~202604,신규,-,,,단독다가구
34,충청북도 청주시 흥덕구 봉명동,2***,12m미만,26,월세,202510,30,500,45,2019,덕암로35번길,-,-,-,,,단독다가구
35,충청북도 청주시 흥덕구 봉명동,2***,12m미만,26.22,월세,202510,30,500,45,,덕암로35번길,202511~202611,신규,-,,,단독다가구
36,충청북도 청주시 흥덕구 송절동,6**,12m미만,32.18,월세,202510,30,500,61,,송화로116번길,202511~202611,신규,-,,,단독다가구
37,충청북도 청주시 흥덕구 복대동,2***,12m미만,24,전세,202510,30,"2,700",0,2001,진재로9번길,202511~202711,신규,-,,,단독다가구
38,충청북도 청주시 흥덕구 복대동,1***,8m미만,135.3,전세,202510,30,"16,000",0,2014,성봉로271번길,202512~202711,신규,-,,,단독다가구
39,충청북도 청주시 흥덕구 봉명동,2***,12m미만,30,월세,202510,29,200,35,2009,덕암로71번길,202510~202610,신규,-,,,단독다가구
40,충청북도 청주시 흥덕구 오송읍 봉산리,1***,12m미만,23.04,월세,202510,29,"1,000",45,2020,봉산2길,202510~202610,신규,-,,,단독다가구
41,충청북도 청주시 흥덕구 비하동,6**,8m미만,25,월세,202510,29,500,45,2018,청향로6번길,202510~202610,신규,-,,,단독다가구
42,충청북도 청주시 흥덕구 복대동,1***,8m미만,55,전세,202510,29,"4,700",0,1992,복대로146번길,202511~202711,신규,-,,,단독다가구
43,충청북도 청주시 흥덕구 봉명동,2**,12m미만,23.1,월세,202510,29,200,30,2017,봉명로126번길,202510~202610,신규,-,,,단독다가구
44,충청북도 청주시 흥덕구 봉명동,2***,12m미만,42.9,월세,202510,29,200,48,2007,덕암로59번길,202510~202604,신규,-,,,단독다가구
45,충청북도 청주시 흥덕구 봉명동,1**,12m미만,30,월세,202510,29,100,45,2009,봉명로113번길,202511~202605,신규,-,,,단독다가구
46,충청북도 청주시 흥덕구 봉명동,2**,25m미만,25,월세,202510,29,300,45,2015,봉명로,-,-,-,,,단독다가구
47,충청북도 청주시 흥덕구 봉명동,2***,12m미만,30,월세,202510,29,300,40,2015,덕암로12번길,202510~202610,신규,-,,,단독다가구
48,충청북도 청주시 흥덕구 봉명동,2***,12m미만,28,월세,202510,29,200,45,2007,덕암로47번길,202511~202605,신규,-,,,단독다가구
49,충청북도 청주시 흥덕구 봉명동,2***,12m미만,39,월세,202510,29,500,60,2005,덕암로71번길,202511~202610,신규,-,,,단독다가구
50,충청북도 청주시 흥덕구 봉명동,2***,12m미만,55,월세,202510,29,300,70,2004,덕암로71번길,202510~202604,신규,-,,,단독다가구
51,충청북도 청주시 흥덕구 오송읍 연제리,7**,25m미만,30,전세,202510,29,"5,000",0,2010,연제길,202511~202711,신규,-,,,단독다가구
